Algorithm,Input_Size,Input_Type,Time_Taken,Run
Quick,1000,Random,0.0013079999771434814,1
Bubble,1000,Sorted,0.04475395899498835,1
Insertion,1000,Sorted,0.00014899999951012433,1
Merge,1000,Sorted,0.0023280419991351664,1
Quick,1000,Sorted,0.001006249978672713,1
Bubble,1000,Reverse,0.12755520798964426,1
Insertion,1000,Reverse,0.06974837501184084,1
Merge,1000,Reverse,0.001728750008624047,1
Quick,1000,Reverse,0.0010035829909611493,1
Bubble,1000,Nearly Sorted,0.04901387501740828,1
Insertion,1000,Nearly Sorted,0.004480042000068352,1
Merge,1000,Nearly Sorted,0.0018814590002875775,1
Quick,1000,Nearly Sorted,0.0010028339747805148,1
Bubble,1000,Random,0.08768187501118518,2
Insertion,1000,Random,0.035523500002454966,2
Merge,1000,Random,0.0019434999849181622,2
Quick,1000,Random,0.001244000013684854,2
Bubble,1000,Sorted,0.043850042013218626,2
Insertion,1000,Sorted,0.00014366701361723244,2
Merge,1000,Sorted,0.0017524159920867532,2
Quick,1000,Sorted,0.0009955830173566937,2
Bubble,1000,Reverse,0.12689958399278112,2
Insertion,1000,Reverse,0.0700970409961883,2
Merge,1000,Reverse,0.0017071669863071293,2
Quick,1000,Reverse,0.0009712089959066361,2
Bubble,1000,Nearly Sorted,0.050100708001991734,2
Insertion,1000,Nearly Sorted,0.005088459001854062,2
Merge,1000,Nearly Sorted,0.0018740840023383498,2
Quick,1000,Nearly Sorted,0.0010176250070799142,2
Bubble,1000,Random,0.08791825000662357,3
Insertion,1000,Random,0.035853334004059434,3
Merge,1000,Random,0.0019800410082098097,3
Quick,1000,Random,0.0013021249906159937,3
Bubble,1000,Sorted,0.04449908298556693,3
Insertion,1000,Sorted,0.0001441249914932996,3
Merge,1000,Sorted,0.0017317080055363476,3
Quick,1000,Sorted,0.0009637920011300594,3
Bubble,1000,Reverse,0.13176391599699855,3
Insertion,1000,Reverse,0.06905158300651237,3
Merge,1000,Reverse,0.0017232500249519944,3
Quick,1000,Reverse,0.0009769590105861425,3
Bubble,1000,Nearly Sorted,0.05127195900422521,3
Insertion,1000,Nearly Sorted,0.00512216700008139,3
Merge,1000,Nearly Sorted,0.001940416026627645,3
Quick,1000,Nearly Sorted,0.0010707079782150686,3
Bubble,1000,Random,0.08632491700700484,4
Insertion,1000,Random,0.034749291982734576,4
Merge,1000,Random,0.0019367079949006438,4
Quick,1000,Random,0.0013029170222580433,4
Bubble,1000,Sorted,0.04466066701570526,4
Insertion,1000,Sorted,0.00014795802417211235,4
Merge,1000,Sorted,0.001721083011943847,4
Quick,1000,Sorted,0.0009720830130390823,4
Bubble,1000,Reverse,0.12772445799782872,4
Insertion,1000,Reverse,0.0698645829979796,4
Merge,1000,Reverse,0.0017972080095205456,4
Quick,1000,Reverse,0.0010422079940326512,4
Bubble,1000,Nearly Sorted,0.05052975000580773,4
Insertion,1000,Nearly Sorted,0.004653875017538667,4
Merge,1000,Nearly Sorted,0.0019009170064236969,4
Quick,1000,Nearly Sorted,0.0010665419977158308,4
Bubble,1000,Random,0.08724049999727868,5
Insertion,1000,Random,0.03547466700547375,5
Merge,1000,Random,0.001955624989932403,5
Quick,1000,Random,0.0012664590030908585,5
Bubble,1000,Sorted,0.043674625019775704,5
Insertion,1000,Sorted,0.00014270798419602215,5
Merge,1000,Sorted,0.0017265000205952674,5
Quick,1000,Sorted,0.00096750000375323,5
Bubble,1000,Reverse,0.1381304579845164,5
Insertion,1000,Reverse,0.07460562500637025,5
Merge,1000,Reverse,0.001756167010171339,5
Quick,1000,Reverse,0.0010216249793302268,5
Bubble,1000,Nearly Sorted,0.05076716700568795,5
Insertion,1000,Nearly Sorted,0.0051498749817255884,5
Merge,1000,Nearly Sorted,0.0019448329985607415,5
Quick,1000,Nearly Sorted,0.0011367500119376928,5
